,pgain,vgain,class,motor_A,motor_B,motor_C,motor_D,motor_E,screw_A,screw_B,screw_C,screw_D,screw_E
60,4,2,0.58125305,0,0,0,0,1,0,1,0,0,0
61,5,4,0.58125305,0,0,0,0,1,1,0,0,0,0
62,5,4,0.431252,0,0,0,0,1,0,1,0,0,0
63,6,1,0.5437528,0,0,1,0,0,1,0,0,0,0
64,4,3,0.7312541,0,0,0,1,0,1,0,0,0,0
65,4,2,0.5062525,0,0,1,0,0,0,1,0,0,0
66,3,2,1.6999923,0,0,0,1,0,0,1,0,0,0
67,3,2,1.2999973999999999,0,0,0,1,0,0,0,1,0,0
68,5,2,0.5437528,0,0,1,0,0,1,0,0,0,0
69,4,2,0.39375174,0,1,0,0,0,0,0,0,1,0
70,6,5,0.8062545999999999,0,1,0,0,0,1,0,0,0,0
71,4,2,0.28125095,0,0,0,1,0,1,0,0,0,0
72,5,4,0.5437528,0,0,1,0,0,0,1,0,0,0
73,6,5,0.5062525,1,0,0,0,0,0,0,0,0,1
74,4,1,0.35625148,1,0,0,0,0,0,0,1,0,0
75,5,4,0.5062525,1,0,0,0,0,0,0,0,0,1
76,4,1,0.28125095,0,0,0,0,1,0,0,1,0,0
77,3,1,4.499986,0,1,0,0,0,0,1,0,0,0
78,3,2,4.6999955,1,0,0,0,0,0,0,0,1,0
79,3,2,1.2999973999999999,0,0,0,0,1,0,0,0,1,0
80,3,1,7.100107700000001,0,0,0,0,1,1,0,0,0,0
81,6,5,0.5062525,1,0,0,0,0,0,0,1,0,0
82,5,4,0.46875226,0,0,1,0,0,0,0,0,0,1
83,5,4,0.76875436,0,0,1,0,0,1,0,0,0,0
84,6,5,0.58125305,0,0,0,0,1,1,0,0,0,0
85,5,4,0.46875226,0,1,0,0,0,0,0,0,0,1
86,4,3,0.8437549000000001,0,0,0,0,1,0,0,0,0,1
87,4,2,0.8437549000000001,0,1,0,0,0,1,0,0,0,0
88,5,4,0.5062525,0,1,0,0,0,0,0,0,1,0
89,4,2,0.35625148,0,0,1,0,0,0,0,1,0,0
90,5,3,0.69375384,1,0,0,0,0,1,0,0,0,0
91,4,3,1.068751,0,0,1,0,0,0,0,0,0,1
92,4,3,1.1062483,1,0,0,0,0,1,0,0,0,0
93,6,3,0.5437528,0,0,1,0,0,1,0,0,0,0
94,4,1,0.24375070000000001,1,0,0,0,0,0,0,0,0,1
95,6,5,0.5062525,1,0,0,0,0,0,0,0,1,0
96,3,1,0.9000011,0,0,0,0,1,0,0,0,1,0
97,4,1,0.431252,0,0,1,0,0,0,1,0,0,0
98,3,2,4.0999675,0,1,0,0,0,0,0,0,1,0
99,4,3,0.99375594,0,1,0,0,0,0,1,0,0,0
100,4,2,0.5062525,0,1,0,0,0,0,0,1,0,0
101,3,2,4.499986,1,0,0,0,0,0,0,0,0,1
102,3,1,3.8999639999999998,0,1,0,0,0,0,0,0,1,0
103,5,4,0.39375174,0,0,0,1,0,0,1,0,0,0
104,4,1,0.24375070000000001,0,0,1,0,0,0,0,1,0,0
105,4,2,0.24375070000000001,0,0,1,0,0,0,0,0,1,0
106,4,1,1.1812428,0,0,0,0,1,0,1,0,0,0
107,3,1,1.2999973999999999,0,0,0,1,0,0,1,0,0,0
108,6,5,0.431252,0,0,0,0,1,0,1,0,0,0
109,3,1,2.499982,0,0,0,1,0,1,0,0,0,0
110,5,4,0.5062525,1,0,0,0,0,0,0,0,1,0
111,4,1,0.7312541,0,0,1,0,0,1,0,0,0,0
112,6,5,0.46875226,0,0,1,0,0,0,0,0,1,0
113,4,3,1.068751,0,1,0,0,0,1,0,0,0,0
114,4,3,1.2187401000000002,0,0,0,0,1,1,0,0,0,0
115,4,1,0.8437549000000001,1,0,0,0,0,1,0,0,0,0
116,4,3,0.99375594,1,0,0,0,0,0,0,1,0,0
117,6,5,0.31875122,0,0,0,0,1,0,0,0,1,0
118,4,2,0.99375594,0,0,0,0,1,1,0,0,0,0
119,3,1,1.4999949,0,0,1,0,0,0,0,0,1,0
120,4,1,0.58125305,0,1,0,0,0,0,1,0,0,0
121,4,2,0.76875436,0,0,1,0,0,1,0,0,0,0
122,5,1,0.5437528,0,0,1,0,0,1,0,0,0,0
123,3,1,1.2999973999999999,0,0,1,0,0,0,0,0,0,1
124,3,1,4.299976999999999,0,0,1,0,0,1,0,0,0,0
125,4,3,1.0312537,0,0,1,0,0,1,0,0,0,0
126,3,1,1.8999897000000001,0,0,1,0,0,0,0,1,0,0
127,5,4,0.431252,0,0,0,1,0,1,0,0,0,0
128,5,4,0.58125305,1,0,0,0,0,0,1,0,0,0
129,3,2,4.299976999999999,0,0,1,0,0,0,0,1,0,0
130,5,4,0.31875122,0,0,0,0,1,0,0,0,1,0
131,4,3,0.5437528,0,0,0,1,0,0,0,1,0,0
132,6,5,0.28125095,0,0,0,0,1,0,0,0,0,1
133,4,2,0.35625148,0,0,0,1,0,0,1,0,0,0
134,4,2,0.46875226,1,0,0,0,0,0,0,0,1,0
135,6,5,0.5437528,0,1,0,0,0,0,1,0,0,0
136,4,1,0.6187533000000001,1,0,0,0,0,0,1,0,0,0
137,5,4,0.5062525,1,0,0,0,0,0,0,1,0,0
138,4,1,0.20625044,0,1,0,0,0,0,0,0,0,1
139,3,1,3.8999639999999998,0,0,1,0,0,0,1,0,0,0
140,4,2,0.5062525,0,0,0,0,1,0,0,0,0,1
141,4,3,1.1062483,0,1,0,0,0,0,0,0,0,1
142,3,1,3.8999639999999998,1,0,0,0,0,0,0,0,0,1
143,4,2,0.8062545999999999,1,0,0,0,0,0,1,0,0,0
144,3,1,3.8999639999999998,1,0,0,0,0,0,0,1,0,0
145,3,2,1.4999949,0,0,0,0,1,0,0,1,0,0
146,3,1,5.100014,0,1,0,0,0,1,0,0,0,0
147,3,2,1.4999949,0,0,0,1,0,0,0,0,1,0
148,3,2,4.6999955,1,0,0,0,0,0,0,1,0,0
149,4,1,0.88125515,0,0,0,0,1,1,0,0,0,0
150,5,4,0.8062545999999999,0,1,0,0,0,1,0,0,0,0
151,3,1,0.7000006999999999,0,0,0,0,1,0,0,0,0,1
152,3,2,0.9000011,0,0,0,1,0,0,0,0,0,1
153,3,1,1.4999949,0,0,0,0,1,0,1,0,0,0
154,4,1,0.24375070000000001,1,0,0,0,0,0,0,0,1,0
155,3,1,4.0999675,1,0,0,0,0,0,0,0,1,0
156,4,3,0.99375594,0,0,0,0,1,0,1,0,0,0
157,3,1,4.6999955,1,0,0,0,0,0,1,0,0,0
158,4,3,0.58125305,0,0,0,1,0,0,1,0,0,0
159,5,4,0.8062545999999999,1,0,0,0,0,1,0,0,0,0
160,3,2,2.6999795,0,0,0,1,0,1,0,0,0,0
161,6,5,0.46875226,0,0,1,0,0,0,0,0,0,1
162,3,2,4.499986,0,1,0,0,0,0,0,1,0,0
163,3,1,3.6999667,0,1,0,0,0,0,0,0,0,1
164,4,3,0.9562556999999999,0,0,1,0,0,0,0,0,1,0
165,3,2,4.499986,1,0,0,0,0,0,1,0,0,0
166,6,5,0.8062545999999999,1,0,0,0,0,1,0,0,0,0
